"DYAD","PERSON","DAY","sexf","hb","ARGUE","CLOSE","SUP","REAP"
81,581,1,0,0,0,3,1,10
81,581,2,0,0,0,3,10,10
81,581,3,0,0,0,3,0,10
81,581,4,0,0,0,3,0,10
81,581,5,0,0,1,3,2,10
81,581,6,0,0,1,3,1,10
81,581,7,0,0,0,3,10,10
82,82,1,1,0,0,3,10,10
82,82,2,1,0,0,3,10,10
82,82,3,1,0,0,3,10,10
82,82,4,1,0,0,3,9,8
82,82,5,1,0,0,3,10,10
82,82,6,1,0,0,3,10,10
82,82,7,1,0,0,3,10,10
82,582,1,0,0,0,3,0,8
82,582,2,0,0,0,3,8,8
82,582,3,0,0,0,3,10,10
82,582,4,0,-1,0,3,0,9
82,582,5,0,1,0,3,1,10
82,582,6,0,-1,0,3,2,10
82,582,7,0,-1,0,3,2,10
83,83,1,1,1,0,3,10,8
83,83,2,1,1,0,2,7,5
83,83,3,1,0,1,3,5,5
83,83,4,1,-1,2,3,9,4
83,83,5,1,1,1,2,7,8
83,83,6,1,3,0,3,5,10
83,83,7,1,0,0,3,10,10
83,583,1,0,0,0,3,7,10
83,583,2,0,0,1,3,3,6
83,583,3,0,3,2,3,6,6
83,583,4,0,1,3,2,5,7
83,583,5,0,2,0,3,9,5
83,583,6,0,1,0,2,9,9
83,583,7,0,1,1,3,8,8
84,84,1,1,1,0,3,10,8
84,84,2,1,1,0,2,7,8
84,84,3,1,0,1,3,5,5
84,84,4,1,-1,2,3,9,8
84,84,5,1,1,1,2,7,8
84,84,6,1,3,0,3,5,10
84,84,7,1,0,0,3,10,10
84,584,1,0,0,0,3,7,10
84,584,2,0,0,1,3,9,6
84,584,3,0,3,2,3,6,6
84,584,4,0,1,3,2,5,7
84,584,5,0,2,0,3,9,9
84,584,6,0,1,0,2,9,9
84,584,7,0,1,1,3,8,8
85,85,1,1,0,1,3,5,5
85,85,2,1,-1,0,0,10,3
85,85,3,1,0,0,1,10,8
85,85,4,1,-1,2,3,9,2
85,85,5,1,0,0,2,3,8
85,85,6,1,0,1,1,3,1
85,85,7,1,-3,4,3,5,9
85,585,1,0,0,0,3,6,7
85,585,2,0,0,0,3,4,5
85,585,3,0,-1,0,3,5,4
85,585,4,0,2,0,2,2,4
85,585,5,0,1,0,1,5,6
85,585,6,0,0,0,1,2,2
85,585,7,0,-1,0,3,2,5
86,86,1,1,0,0,3,10,10
86,86,2,1,0,1,3,0,10
86,86,3,1,1,0,3,0,10
86,86,4,1,0,0,3,0,10
86,86,5,1,0,0,3,0,10
86,86,6,1,0,0,2,0,10
86,86,7,1,0,0,3,0,10
86,586,1,0,0,0,3,0,10
86,586,2,0,0,1,3,0,10
86,586,3,0,1,0,3,0,10
86,586,4,0,0,0,3,0,10
86,586,5,0,0,0,3,0,10
86,586,6,0,0,0,3,0,10
86,586,7,0,0,1,3,3,10
87,87,1,1,0,0,3,0,10
87,87,2,1,1,0,3,7,10
87,87,3,1,0,1,3,9,10
87,87,4,1,0,1,3,3,10
87,87,5,1,1,1,3,9,10
87,87,6,1,0,1,3,10,10
87,87,7,1,1,1,3,0,10
87,587,1,0,0,0,3,0,10
87,587,2,0,1,0,3,0,9
87,587,3,0,-1,1,3,0,9
87,587,4,0,-1,1,3,0,10
87,587,5,0,0,1,3,10,10
87,587,6,0,0,1,3,1,10
87,587,7,0,-2,1,2,1,9
88,88,1,1,0,0,3,3,10
88,88,2,1,1,1,3,0,10
88,88,3,1,0,0,3,2,10
88,88,4,1,0,0,3,3,10
88,88,5,1,0,0,3,0,10
88,88,6,1,0,0,3,2,10
88,88,7,1,1,1,3,2,10
88,588,1,0,0,0,3,0,10
88,588,2,0,0,1,3,0,10
88,588,3,0,0,0,3,1,10
88,588,4,0,-1,0,3,1,10
88,588,5,0,1,0,3,0,9
88,588,6,0,0,1,3,0,10
88,588,7,0,0,1,3,2,10
89,89,1,1,1,0,3,2,10
89,89,2,1,0,0,3,0,10
89,89,3,1,0,0,3,0,10
89,89,4,1,0,1,3,0,10
89,89,5,1,0,1,3,10,10
89,89,6,1,0,0,2,0,10
89,89,7,1,0,0,2,0,10
89,589,1,0,1,0,3,0,10
89,589,2,0,1,0,3,0,10
89,589,3,0,0,0,3,0,10
89,589,4,0,1,1,3,0,10
89,589,5,0,0,1,3,0,10
89,589,6,0,0,0,3,0,10
89,589,7,0,0,0,3,1,10
90,90,1,1,0,0,2,5,5
90,90,2,1,0,0,2,5,5
90,90,3,1,0,0,2,5,5
90,90,4,1,-2,0,2,5,5
90,90,5,1,0,0,2,5,5
90,90,6,1,0,0,2,5,5
90,90,7,1,0,0,2,5,5
90,590,1,0,0,0,2,5,5
90,590,2,0,0,0,2,5,5
90,590,3,0,-1,0,2,5,5
90,590,4,0,3,0,0,5,5
90,590,5,0,0,0,2,5,5
90,590,6,0,0,0,2,5,5
90,590,7,0,0,0,2,5,5
91,91,1,1,-3,2,3,5,5
91,91,2,1,-2,2,3,5,5
91,91,3,1,-3,1,3,5,5
91,91,4,1,-3,1,2,5,5
91,91,5,1,-3,1,3,5,5
91,91,6,1,-2,0,3,5,5
91,91,7,1,NA,NA,NA,NA,NA
91,591,1,0,-1,1,3,5,8
91,591,2,0,-1,2,2,5,8
91,591,3,0,0,2,2,5,6
91,591,4,0,0,1,3,7,6
91,591,5,0,0,4,3,5,5
91,591,6,0,0,0,3,5,9
91,591,7,0,-2,2,3,5,9
92,92,1,1,0,2,2,10,10
92,92,2,1,0,3,2,3,6
92,92,3,1,-1,3,2,7,6
92,92,4,1,-2,3,2,6,3
92,92,5,1,2,2,2,8,8
92,92,6,1,0,2,2,8,8
92,92,7,1,-3,2,3,5,5
92,592,1,0,0,3,2,10,10
92,592,2,0,0,3,1,5,10
92,592,3,0,0,3,2,10,10
92,592,4,0,-2,3,3,10,9
92,592,5,0,3,2,2,10,10
92,592,6,0,0,2,2,9,10
92,592,7,0,-3,2,2,10,10
93,93,1,1,0,0,3,0,8
93,93,2,1,0,0,3,0,8
93,93,3,1,0,0,3,10,0
93,93,4,1,0,0,3,10,0
93,93,5,1,1,0,3,10,0
93,93,6,1,0,0,3,10,0
93,93,7,1,0,0,3,10,0
93,593,1,0,0,0,3,4,0
93,593,2,0,0,0,3,4,0
93,593,3,0,0,0,3,4,0
93,593,4,0,0,0,3,4,0
93,593,5,0,-1,0,3,4,0
93,593,6,0,0,0,3,4,0
93,593,7,0,0,0,3,4,0
94,94,1,1,1,1,3,5,5
94,94,2,1,2,1,2,5,5
94,94,3,1,-1,0,2,9,7
94,94,4,1,0,3,0,9,2
94,94,5,1,1,1,2,6,8
94,94,6,1,3,0,3,8,8
94,94,7,1,-3,0,2,3,7
94,594,1,0,-2,0,3,7,8
94,594,2,0,1,0,3,8,8
94,594,3,0,-1,0,3,0,8
94,594,4,0,0,0,2,9,8
94,594,5,0,0,0,2,8,7
94,594,6,0,0,0,2,5,5
94,594,7,0,0,0,2,5,5
95,95,1,1,-1,3,2,9,10
95,95,2,1,-1,2,3,10,10
95,95,3,1,2,4,2,9,10
95,95,4,1,-2,3,1,9,9
95,95,5,1,0,3,2,10,10
95,95,6,1,-2,3,3,10,10
95,95,7,1,0,4,3,7,8
95,595,1,0,0,2,2,9,10
95,595,2,0,-3,0,2,9,10
95,595,3,0,-2,0,2,9,10
95,595,4,0,-3,1,0,10,9
95,595,5,0,-1,3,2,9,10
95,595,6,0,0,2,2,8,8
95,595,7,0,-2,2,3,10,10
96,96,1,1,-3,2,0,5,5
96,96,2,1,-3,1,1,3,2
96,96,3,1,-3,1,1,6,5
96,96,4,1,-1,3,1,6,6
96,96,5,1,-3,3,1,5,6
96,96,6,1,-3,3,1,5,6
96,96,7,1,-3,3,1,5,6
96,596,1,0,-3,2,1,6,4
96,596,2,0,-3,3,0,3,2
96,596,3,0,-3,1,1,6,5
96,596,4,0,-3,3,0,6,5
96,596,5,0,-3,3,1,7,3
96,596,6,0,-3,3,1,5,6
96,596,7,0,-3,3,1,6,6
97,97,1,1,0,0,3,7,10
97,97,2,1,1,0,3,8,8
97,97,3,1,0,0,3,0,6
97,97,4,1,1,0,3,3,7
97,97,5,1,1,0,3,2,8
97,97,6,1,1,0,3,2,8
97,97,7,1,0,0,3,3,9
97,597,1,0,0,0,3,8,10
97,597,2,0,3,0,3,7,9
97,597,3,0,0,0,3,0,9
97,597,4,0,0,0,3,3,8
97,597,5,0,1,0,3,2,8
97,597,6,0,0,0,3,2,8
97,597,7,0,0,0,3,2,8
98,98,1,1,-1,1,3,2,10
98,98,2,1,2,2,3,1,10
98,98,3,1,2,2,3,0,10
98,98,4,1,1,0,3,1,10
98,98,5,1,0,0,3,9,10
98,98,6,1,0,0,3,2,10
98,98,7,1,0,0,3,10,10
98,598,1,0,-1,1,3,0,5
98,598,2,0,2,2,3,0,6
98,598,3,0,1,2,3,0,5
98,598,4,0,1,0,3,0,10
98,598,5,0,0,0,3,0,10
98,598,6,0,0,0,3,0,10
98,598,7,0,0,0,3,0,10
99,99,1,1,0,0,3,0,9
99,99,2,1,0,0,3,0,9
99,99,3,1,0,0,3,0,9
99,99,4,1,0,0,3,0,9
99,99,5,1,0,0,3,0,9
99,99,6,1,0,0,3,0,9
99,99,7,1,0,0,3,0,9
99,599,1,0,1,1,3,0,9
99,599,2,0,0,3,3,0,6
99,599,3,0,0,2,3,0,6
99,599,4,0,0,0,3,0,6
99,599,5,0,0,0,3,0,6
99,599,6,0,0,0,3,0,6
99,599,7,0,0,0,3,0,6
100,100,1,1,-1,1,0,2,8
100,100,2,1,-1,0,3,3,7
100,100,3,1,0,0,3,1,9
100,100,4,1,0,0,3,5,7
100,100,5,1,0,0,3,5,5
100,100,6,1,0,0,3,5,6
100,100,7,1,0,0,3,4,2
100,600,1,0,0,0,1,1,8
100,600,2,0,0,0,1,1,8
100,600,3,0,0,0,3,4,8
100,600,4,0,0,0,3,5,8
100,600,5,0,0,0,3,5,6
100,600,6,0,0,0,3,3,5
100,600,7,0,0,0,3,2,7
101,101,1,1,-1,0,2,9,9
101,101,2,1,-1,0,2,8,8
101,101,3,1,0,0,2,10,10
101,101,4,1,-1,0,2,9,9
101,101,5,1,-1,0,2,8,8
101,101,6,1,-1,0,2,9,9
101,101,7,1,-1,0,2,9,9
101,601,1,0,-2,0,2,9,9
101,601,2,0,-1,0,3,9,9
101,601,3,0,-1,0,2,9,8
101,601,4,0,-1,0,2,9,9
101,601,5,0,-1,0,3,9,9
101,601,6,0,-2,0,2,9,9
101,601,7,0,-1,0,2,8,8
102,102,1,1,-1,0,3,6,10
102,102,2,1,-1,0,3,6,6
102,102,3,1,0,0,3,6,6
102,102,4,1,0,0,3,6,10
102,102,5,1,0,0,3,6,10
102,102,6,1,-2,0,3,6,6
102,102,7,1,-2,0,3,8,7
102,602,1,0,-1,0,3,7,10
102,602,2,0,-1,0,3,7,6
102,602,3,0,-1,0,3,6,6
102,602,4,0,-1,0,3,6,6
102,602,5,0,-1,0,3,6,10
102,602,6,0,-1,0,3,6,10
102,602,7,0,-1,0,3,6,6
103,103,1,1,0,0,3,3,7
103,103,2,1,-1,0,3,3,7
103,103,3,1,0,0,3,5,8
103,103,4,1,0,0,3,5,8
103,103,5,1,-1,0,3,5,7
103,103,6,1,-1,0,3,5,8
103,103,7,1,-1,0,3,4,7
103,603,1,0,-1,0,3,4,7
103,603,2,0,-1,0,3,4,7
103,603,3,0,0,0,3,5,7
103,603,4,0,0,0,3,5,9
103,603,5,0,-2,0,2,5,7
103,603,6,0,-2,0,3,3,7
103,603,7,0,-1,0,2,3,8
104,104,1,1,0,0,3,9,8
104,104,2,1,-1,0,3,4,7
104,104,3,1,-2,0,3,3,8
104,104,4,1,-1,0,3,6,7
104,104,5,1,0,0,3,2,7
104,104,6,1,-2,0,3,4,7
104,104,7,1,0,0,3,3,7
104,604,1,0,0,0,3,2,8
104,604,2,0,-1,0,2,5,8
104,604,3,0,-1,0,3,4,7
104,604,4,0,0,0,3,4,8
104,604,5,0,0,0,3,4,7
104,604,6,0,0,0,3,2,7
104,604,7,0,0,0,3,4,7
105,105,1,1,-3,1,3,4,7
105,105,2,1,-1,1,3,5,7
105,105,3,1,-2,0,3,4,7
105,105,4,1,0,1,3,4,7
105,105,5,1,0,0,3,5,7
105,105,6,1,-1,0,3,5,7
105,105,7,1,-1,0,3,4,8
105,605,1,0,-3,1,3,6,9
105,605,2,0,-1,2,3,6,8
105,605,3,0,-2,0,3,5,8
105,605,4,0,0,1,3,4,10
105,605,5,0,0,0,3,8,7
105,605,6,0,-1,0,3,3,8
105,605,7,0,-1,0,3,5,8
106,106,1,1,-1,0,3,5,8
106,106,2,1,-1,0,3,4,8
106,106,3,1,1,0,3,6,8
106,106,4,1,2,0,3,5,9
106,106,5,1,0,0,3,10,10
106,106,6,1,2,0,3,4,10
106,106,7,1,-1,0,3,4,8
106,606,1,0,-1,0,3,4,8
106,606,2,0,-2,0,3,5,8
106,606,3,0,-1,0,3,4,8
106,606,4,0,-1,0,3,5,9
106,606,5,0,0,0,3,4,10
106,606,6,0,-3,0,3,4,10
106,606,7,0,-1,0,3,4,7
107,107,1,1,-1,0,3,3,8
107,107,2,1,0,0,3,3,8
107,107,3,1,0,0,3,5,10
107,107,4,1,-1,0,3,4,4
107,107,5,1,0,0,3,5,10
107,107,6,1,2,0,3,3,8
107,107,7,1,3,0,3,4,10
107,607,1,0,0,0,3,3,9
107,607,2,0,0,0,3,2,10
107,607,3,0,0,0,3,4,5
107,607,4,0,0,0,3,6,9
107,607,5,0,0,0,3,5,6
107,607,6,0,0,0,3,4,8
107,607,7,0,-2,0,3,4,8
108,108,1,1,-1,0,3,4,7
108,108,2,1,1,0,3,0,7
108,108,3,1,0,0,3,5,7
108,108,4,1,-1,0,3,5,7
108,108,5,1,-1,0,3,4,6
108,108,6,1,0,0,3,4,7
108,108,7,1,0,0,3,5,7
108,608,1,0,-2,0,3,4,8
108,608,2,0,3,0,3,4,8
108,608,3,0,0,0,3,4,8
108,608,4,0,0,0,3,4,8
108,608,5,0,2,0,3,4,9
108,608,6,0,3,0,3,5,8
108,608,7,0,-1,0,3,4,9
109,109,1,1,-1,0,3,2,8
109,109,2,1,-1,0,3,4,8
109,109,3,1,-2,0,3,4,7
109,109,4,1,-1,0,3,2,8
109,109,5,1,0,0,3,4,8
109,109,6,1,-3,1,3,2,8
109,109,7,1,-1,1,3,3,8
109,609,1,0,-1,0,3,1,8
109,609,2,0,-1,0,3,0,8
109,609,3,0,-2,0,3,2,8
109,609,4,0,-1,0,3,2,8
109,609,5,0,0,0,3,2,8
109,609,6,0,-3,1,2,2,8
109,609,7,0,-1,1,2,1,8
110,110,1,1,0,0,3,7,7
110,110,2,1,0,0,3,4,7
110,110,3,1,0,0,3,6,7
110,110,4,1,0,0,3,5,7
110,110,5,1,0,0,3,5,7
110,110,6,1,0,1,3,5,7
110,110,7,1,-1,1,3,7,7
110,610,1,0,0,0,3,5,6
110,610,2,0,-1,0,3,5,6
110,610,3,0,-2,0,2,2,7
110,610,4,0,0,0,3,5,8
110,610,5,0,0,0,3,5,7
110,610,6,0,0,0,2,5,6
110,610,7,0,-1,0,3,5,9
111,111,1,1,0,0,3,5,7
111,111,2,1,0,0,3,5,7
111,111,3,1,0,0,3,5,7
111,111,4,1,0,1,3,7,7
111,111,5,1,0,0,3,7,7
111,111,6,1,0,0,3,4,7
111,111,7,1,-1,0,3,5,8
111,611,1,0,0,0,2,5,8
111,611,2,0,0,0,3,4,7
111,611,3,0,0,0,3,5,7
111,611,4,0,0,1,3,5,8
111,611,5,0,-2,0,3,5,8
111,611,6,0,0,0,3,5,8
111,611,7,0,-3,0,3,5,7
112,112,1,1,-1,0,3,4,7
112,112,2,1,0,0,3,5,7
112,112,3,1,0,1,3,5,6
112,112,4,1,-1,1,3,5,6
112,112,5,1,0,1,3,5,7
112,112,6,1,1,1,3,5,7
112,112,7,1,0,0,3,5,7
112,612,1,0,-2,0,3,2,7
112,612,2,0,0,0,3,4,6
112,612,3,0,0,1,3,0,6
112,612,4,0,-1,1,3,3,7
112,612,5,0,0,1,2,4,7
112,612,6,0,-1,1,3,5,6
112,612,7,0,0,0,3,5,6
113,113,1,1,0,0,3,4,7
113,113,2,1,0,1,3,4,7
113,113,3,1,-3,0,3,5,7
113,113,4,1,0,0,3,4,8
113,113,5,1,0,0,3,5,7
113,113,6,1,-3,1,2,4,7
113,113,7,1,0,0,2,3,7
113,613,1,0,-1,0,3,7,7
113,613,2,0,0,1,3,5,7
113,613,3,0,0,0,3,5,6
113,613,4,0,0,0,2,5,7
113,613,5,0,0,0,3,5,7
113,613,6,0,-1,1,3,5,7
113,613,7,0,0,0,3,5,7
114,114,1,1,0,1,3,5,6
114,114,2,1,0,1,3,5,7
114,114,3,1,0,1,3,5,7
114,114,4,1,-2,0,3,5,7
114,114,5,1,-1,2,3,6,6
114,114,6,1,0,0,3,5,7
114,114,7,1,0,1,3,5,7
114,614,1,0,-2,1,2,5,6
114,614,2,0,-2,0,3,4,6
114,614,3,0,0,1,3,6,6
114,614,4,0,0,0,2,6,6
114,614,5,0,0,2,3,3,6
114,614,6,0,-1,0,2,5,6
114,614,7,0,0,1,3,5,7
115,115,1,1,-2,0,3,8,7
115,115,2,1,0,0,3,2,7
115,115,3,1,-2,0,3,4,8
115,115,4,1,-1,0,2,5,7
115,115,5,1,0,0,2,4,6
115,115,6,1,0,0,2,4,7
115,115,7,1,-1,0,3,5,8
115,615,1,0,0,0,3,3,7
115,615,2,0,-1,0,2,4,7
115,615,3,0,-1,0,3,4,7
115,615,4,0,0,0,3,4,8
115,615,5,0,-2,0,3,3,8
115,615,6,0,-3,0,3,4,7
115,615,7,0,-1,0,3,2,8
116,116,1,1,0,0,3,1,8
116,116,2,1,0,0,3,1,8
116,116,3,1,-2,1,3,4,8
116,116,4,1,-1,0,3,1,7
116,116,5,1,0,1,3,1,7
116,116,6,1,0,0,3,1,7
116,116,7,1,0,0,3,7,9
116,616,1,0,-2,0,3,2,8
116,616,2,0,0,0,2,3,8
116,616,3,0,-2,1,2,7,7
116,616,4,0,-1,0,2,4,8
116,616,5,0,0,1,2,4,10
116,616,6,0,0,0,2,5,8
116,616,7,0,0,0,2,4,6
117,117,1,1,0,0,2,4,7
117,117,2,1,3,0,3,4,6
117,117,3,1,3,1,3,4,6
117,117,4,1,-1,0,2,4,6
117,117,5,1,0,0,2,3,7
117,117,6,1,1,0,3,3,8
117,117,7,1,0,0,2,3,7
117,617,1,0,0,0,3,4,9
117,617,2,0,1,0,3,3,8
117,617,3,0,0,1,3,3,8
117,617,4,0,-2,0,3,4,9
117,617,5,0,-1,0,3,4,10
117,617,6,0,1,0,3,4,7
117,617,7,0,-1,0,3,5,10
118,118,1,1,1,0,2,2,7
118,118,2,1,-1,0,2,4,7
118,118,3,1,1,0,2,3,6
118,118,4,1,-3,0,3,4,6
118,118,5,1,-1,0,2,4,6
118,118,6,1,2,0,2,4,6
118,118,7,1,0,0,2,3,6
118,618,1,0,-1,0,2,4,8
118,618,2,0,0,0,3,4,6
118,618,3,0,-2,0,3,6,6
118,618,4,0,0,0,3,4,7
118,618,5,0,0,0,3,7,7
118,618,6,0,-2,0,2,6,6
118,618,7,0,1,0,2,6,6
119,119,1,1,0,0,3,3,9
119,119,2,1,-2,0,3,0,6
119,119,3,1,-1,0,3,3,6
119,119,4,1,1,0,3,4,7
119,119,5,1,-1,0,3,2,6
119,119,6,1,0,0,3,4,6
119,119,7,1,0,0,3,2,6
119,619,1,0,0,0,3,5,8
119,619,2,0,0,0,3,4,9
119,619,3,0,0,0,3,3,9
119,619,4,0,0,0,3,4,9
119,619,5,0,0,0,3,4,10
119,619,6,0,0,0,3,4,10
119,619,7,0,0,0,3,6,10
120,120,1,1,0,0,3,0,10
120,120,2,1,0,0,3,2,10
120,120,3,1,0,0,3,1,10
120,120,4,1,0,0,3,0,10
120,120,5,1,0,0,3,0,10
120,120,6,1,0,0,3,1,10
120,120,7,1,0,0,3,0,10
120,620,1,0,0,0,3,0,10
120,620,2,0,1,0,3,0,10
120,620,3,0,0,0,3,0,10
120,620,4,0,0,0,3,0,10
120,620,5,0,0,0,3,0,10
120,620,6,0,0,0,3,0,10
120,620,7,0,0,0,3,0,10
121,121,1,1,0,1,3,1,10
121,121,2,1,-1,1,3,10,10
121,121,3,1,-1,1,3,3,6
121,121,4,1,0,0,3,8,7
121,121,5,1,-3,0,3,2,8
121,121,6,1,-1,0,3,8,9
121,121,7,1,-2,1,3,1,7
121,621,1,0,0,0,3,2,9
121,621,2,0,0,1,3,10,10
121,621,3,0,0,1,3,8,2
121,621,4,0,0,0,3,7,7
121,621,5,0,0,1,3,10,10
121,621,6,0,0,0,3,9,9
121,621,7,0,-1,0,3,8,7
122,122,1,1,-1,0,3,1,10
122,122,2,1,-1,0,3,1,10
122,122,3,1,2,1,3,8,10
122,122,4,1,0,0,3,1,9
122,122,5,1,0,0,3,8,8
122,122,6,1,-1,1,2,0,8
122,122,7,1,0,1,2,1,7
122,622,1,0,0,3,0,1,5
122,622,2,0,-1,2,1,5,4
122,622,3,0,0,0,2,2,9
122,622,4,0,0,0,1,2,9
122,622,5,0,3,1,1,1,7
122,622,6,0,-1,0,2,8,2
122,622,7,0,-1,1,1,4,3
123,123,1,1,1,1,3,10,10
123,123,2,1,1,1,2,5,1
123,123,3,1,0,1,2,1,0
123,123,4,1,2,1,2,1,10
123,123,5,1,-3,2,2,0,0
