"DYAD","DAY","f_ARGUE","f_CLOSE","m_ARGUE","m_CLOSE","f_hb","m_hb"
1,1,0,3,0,3,0,-1
1,2,1,3,NA,NA,0,NA
1,3,0,3,0,3,-1,0
1,4,1,3,NA,NA,0,NA
1,5,NA,NA,NA,NA,NA,NA
1,6,0,3,NA,NA,-1,NA
4,1,0,1,0,2,0,-1
4,2,0,1,0,3,0,0
4,3,0,1,0,2,NA,0
4,4,0,1,0,2,1,0
4,5,NA,NA,NA,3,NA,0
4,6,2,0,NA,3,0,0
4,7,1,1,NA,3,0,0
5,1,0,3,0,3,NA,-1
5,2,NA,NA,NA,NA,NA,NA
5,3,0,3,0,3,0,-1
5,4,0,2,0,2,1,-1
5,5,NA,NA,NA,NA,NA,NA
5,6,1,2,1,1,0,0
5,7,0,2,0,2,-1,-1
6,1,4,1,4,3,-2,1
6,2,NA,NA,0,3,NA,0
6,3,0,3,NA,NA,-2,NA
7,1,0,1,NA,2,-1,-1
7,2,0,3,3,2,2,0
7,3,0,3,2,2,0,0
7,4,0,3,NA,2,0,-3
7,5,0,2,0,3,0,0
7,6,0,2,0,3,-1,0
7,7,NA,NA,0,2,NA,0
8,1,0,3,1,3,0,0
8,2,1,1,0,3,-2,2
8,3,0,2,0,3,-1,-2
8,4,0,2,0,3,-2,-1
8,5,NA,NA,0,3,NA,1
8,6,0,2,1,3,0,0
8,7,NA,NA,0,3,NA,0
10,1,1,3,0,3,0,NA
10,2,NA,NA,2,3,NA,0
10,3,0,3,0,3,0,0
10,4,1,3,1,3,-1,0
10,5,NA,NA,NA,NA,NA,NA
10,6,4,3,3,2,0,1
10,7,NA,NA,4,1,NA,-1
12,1,0,3,0,3,-1,0
12,2,1,3,NA,NA,0,NA
12,3,NA,NA,NA,NA,NA,NA
12,4,2,2,0,3,-1,1
12,5,0,3,0,3,0,2
12,6,0,3,NA,NA,0,NA
13,1,0,3,0,3,-2,0
13,2,0,3,0,3,-1,0
13,3,1,2,1,3,-2,-1
13,4,NA,NA,NA,NA,NA,NA
13,5,1,3,1,3,-3,-1
14,1,1,1,1,0,0,NA
14,2,2,1,1,1,0,NA
14,3,0,1,1,1,-2,NA
14,4,1,2,0,1,0,NA
14,5,1,2,NA,NA,0,NA
14,6,2,2,0,3,0,-1
15,1,1,3,0,3,-3,0
15,2,1,3,NA,NA,-1,NA
15,3,0,3,0,3,0,-1
15,4,0,3,0,3,-1,-1
15,5,0,3,0,3,0,-3
15,6,0,3,0,3,0,-1
15,7,0,3,0,3,-2,2
17,1,1,2,1,2,-1,2
17,2,NA,NA,NA,NA,NA,NA
17,3,0,2,0,3,-2,-1
17,4,0,3,0,3,0,-3
17,5,3,2,4,0,-1,-1
17,6,2,3,3,1,-1,0
18,1,0,3,0,3,-1,0
18,2,NA,NA,3,3,NA,0
18,3,0,3,0,3,-1,-1
18,4,0,3,0,3,0,0
18,5,NA,NA,NA,NA,NA,0
18,6,0,2,0,3,-1,0
18,7,0,3,NA,NA,0,NA
19,1,0,1,0,1,-1,0
19,2,0,1,0,1,0,-2
19,3,NA,NA,0,1,NA,0
19,4,0,1,NA,NA,0,NA
21,1,0,3,0,3,0,0
21,2,0,3,0,3,0,0
21,3,NA,NA,0,3,NA,-1
21,4,0,3,0,3,0,0
21,5,0,3,0,3,0,0
21,6,0,3,0,3,-2,NA
23,1,0,3,0,3,0,0
23,2,NA,NA,NA,NA,NA,NA
23,3,1,3,0,3,0,0
23,4,1,3,1,3,-1,0
23,5,1,3,4,0,-2,0
23,6,NA,NA,NA,NA,NA,NA
23,7,2,3,0,3,-3,-2
24,1,4,3,0,0,0,-1
24,2,0,3,NA,NA,-2,NA
24,3,0,3,0,1,2,1
24,4,2,3,2,2,0,0
24,5,1,3,1,2,-1,0
24,6,0,3,3,3,1,0
24,7,NA,NA,1,3,NA,2
25,1,0,3,3,3,1,0
25,2,0,3,1,3,-1,-2
25,3,1,0,0,3,0,0
25,4,0,3,NA,NA,-1,NA
25,5,0,3,0,3,0,1
25,6,0,3,0,3,0,1
25,7,0,3,0,3,0,-1
26,1,4,3,0,3,-2,-1
26,2,NA,NA,0,2,NA,0
26,3,0,3,1,3,NA,-2
26,4,0,2,NA,NA,NA,NA
26,5,NA,NA,NA,NA,NA,NA
26,6,0,2,0,3,2,-1
28,1,1,3,1,3,-1,-1
28,2,0,3,0,3,1,0
28,3,2,2,2,2,0,-1
28,4,0,3,0,3,1,1
28,5,NA,NA,NA,NA,NA,NA
28,6,0,3,0,3,-2,0
28,7,1,3,1,3,0,0
30,1,0,1,0,2,-2,0
30,2,0,2,0,2,0,0
30,3,NA,1,0,3,-2,1
30,4,NA,NA,0,2,NA,-1
30,5,0,2,NA,NA,-2,NA
30,6,0,2,3,2,-2,-1
32,1,3,0,2,1,-1,-1
32,2,1,1,1,1,0,-2
32,3,0,2,0,3,-1,0
32,4,0,2,0,3,0,-2
32,5,0,1,0,2,-2,-2
32,6,NA,NA,NA,NA,NA,NA
32,7,0,0,0,2,-1,-2
38,1,3,2,NA,NA,-1,-2
38,2,0,3,1,3,-2,-2
38,3,0,3,1,3,-2,-1
38,4,NA,NA,NA,NA,NA,NA
38,5,0,3,0,3,0,-1
38,6,NA,NA,NA,NA,NA,NA
38,7,0,3,0,3,0,-3
40,1,2,2,1,2,0,0
40,2,2,2,1,2,0,0
40,3,1,2,1,2,0,0
40,4,1,2,1,2,0,0
40,5,0,2,0,2,0,-1
40,6,0,2,1,2,0,0
41,1,NA,NA,NA,NA,NA,NA
41,2,1,3,1,3,0,2
41,3,0,3,0,3,0,-1
41,4,0,3,0,3,0,-1
41,5,0,3,0,2,0,0
41,6,1,3,2,3,0,0
41,7,4,0,2,2,0,-1
46,1,0,3,0,2,2,1
46,2,0,3,0,2,2,-1
46,3,0,3,0,1,3,1
46,4,NA,NA,NA,NA,NA,NA
46,5,1,2,0,2,1,0
46,6,NA,NA,NA,NA,NA,NA
46,7,0,2,1,2,0,-1
50,1,0,3,0,3,-1,0
50,2,0,2,0,2,-2,0
50,3,0,3,0,3,-1,0
50,4,0,3,0,3,0,1
50,5,NA,NA,NA,NA,NA,NA
50,6,0,3,0,3,1,1
50,7,0,3,0,3,-1,-1
51,1,0,1,0,2,-1,0
51,2,0,1,0,2,0,2
51,3,NA,NA,NA,NA,NA,NA
51,4,1,1,1,1,0,0
51,5,0,1,0,1,1,NA
51,6,NA,NA,NA,NA,NA,NA
51,7,0,1,0,1,1,NA
54,1,0,3,0,3,0,-1
54,2,0,3,0,3,-1,1
54,3,0,3,0,3,0,1
54,4,0,3,0,3,1,-1
54,5,2,3,2,2,-2,-1
54,6,NA,NA,NA,NA,NA,NA
54,7,0,3,0,3,-2,0
60,1,0,2,0,1,0,-1
60,2,NA,NA,NA,NA,NA,NA
60,3,2,2,2,2,0,1
60,4,4,0,4,0,0,-1
60,5,2,2,3,1,-1,1
60,6,0,2,0,2,0,-2
60,7,0,2,0,2,-1,-3
61,1,0,2,0,2,-2,0
61,2,0,1,0,1,-1,-1
61,3,0,2,0,2,-1,0
61,4,0,2,0,2,0,0
61,6,1,2,1,2,0,1
61,7,0,3,0,3,2,2
64,1,0,3,0,3,-2,-2
64,2,0,2,0,2,-2,0
64,3,NA,NA,NA,NA,NA,NA
64,4,3,2,0,3,0,0
64,5,1,3,0,3,1,-1
64,6,NA,NA,NA,NA,NA,NA
64,7,1,3,0,3,-2,-2
66,1,1,3,1,3,0,0
66,2,NA,NA,NA,NA,NA,NA
66,3,0,3,0,3,NA,-1
66,4,0,3,0,2,1,0
66,5,NA,3,0,3,-3,2
66,6,NA,NA,NA,NA,NA,NA
66,7,2,3,0,3,1,1
68,1,0,2,0,3,0,-1
68,2,0,2,0,3,0,2
68,3,1,2,0,3,0,-2
68,4,0,2,0,3,-1,0
68,5,0,2,0,3,1,2
68,6,NA,NA,NA,NA,NA,NA
68,7,2,2,0,3,0,-2
68,8,0,2,0,3,0,-1
70,1,1,2,2,3,0,NA
70,2,1,3,2,2,1,0
70,3,0,2,0,2,0,3
71,1,1,2,1,2,-1,-1
71,2,1,3,2,3,0,-1
71,3,0,3,1,3,1,-2
71,4,2,3,1,3,-1,3
71,5,1,2,1,2,-2,-2
71,6,0,3,0,3,2,2
71,7,0,3,1,3,-2,-2
72,1,1,2,2,2,1,1
72,2,1,2,2,3,2,-1
72,3,0,3,0,2,-1,0
72,4,2,1,2,2,-3,-2
72,5,0,2,0,2,-1,-1
72,6,0,2,0,2,-1,0
72,7,2,2,1,2,-2,-1
73,1,2,1,0,3,1,0
73,2,3,1,0,3,-3,0
73,3,1,1,0,3,0,-2
73,4,0,2,0,2,3,0
73,5,1,1,0,3,-1,0
73,6,1,0,1,2,-3,0
73,7,2,1,0,3,1,2
74,1,2,1,1,2,-1,-2
74,2,2,3,1,1,-1,-1
74,3,1,1,1,2,-1,-3
74,4,1,2,2,2,0,-3
74,5,2,2,2,2,-1,-1
74,6,2,2,1,2,-1,-1
74,7,1,2,1,2,-1,-1
75,1,0,2,2,3,1,-1
75,2,1,1,1,3,-2,0
75,3,0,3,2,2,0,1
75,4,0,2,3,2,1,0
75,5,0,2,2,1,-2,0
75,6,0,2,3,2,0,-1
75,7,0,3,1,3,-1,0
76,1,0,2,0,2,0,0
76,2,0,2,0,2,0,0
76,3,2,2,1,2,0,0
76,4,0,2,0,2,0,1
76,5,0,2,0,2,0,0
76,6,0,2,0,2,-1,0
76,7,0,2,1,2,0,0
77,1,0,3,0,3,0,0
77,2,0,3,0,3,0,0
77,3,0,3,0,3,0,0
77,4,0,3,0,3,0,0
77,5,0,3,1,3,-1,0
77,6,0,3,0,3,0,0
77,7,0,3,0,3,0,0
78,1,0,3,0,3,0,0
78,2,0,3,0,3,0,0
78,3,0,3,0,3,0,0
78,4,0,3,0,3,0,0
78,5,0,3,0,3,0,0
78,6,0,3,0,3,0,0
78,7,0,3,0,3,0,0
79,1,0,3,0,2,0,0
79,2,1,3,0,2,0,0
79,3,1,3,0,2,0,0
79,4,1,3,0,1,-2,0
79,5,1,3,2,2,0,-1
79,6,1,3,1,2,0,0
79,7,1,3,0,2,-1,0
80,1,0,2,0,2,0,0
80,2,1,2,1,2,0,0
80,3,2,2,1,2,0,0
80,4,0,2,0,2,0,-2
80,5,2,2,2,2,0,0
80,6,2,2,2,2,1,0
80,7,0,2,0,2,0,0
81,1,0,3,0,3,0,0
81,2,0,3,0,3,0,0
81,3,0,3,0,3,0,0
81,4,0,3,0,3,0,0
81,5,2,3,1,3,0,0
81,6,2,3,1,3,0,0
81,7,0,3,0,3,0,0
82,1,0,3,0,3,0,0
82,2,0,3,0,3,0,0
82,3,0,3,0,3,0,0
82,4,0,3,0,3,0,-1
82,5,0,3,0,3,0,1
82,6,0,3,0,3,0,-1
82,7,0,3,0,3,0,-1
83,1,0,3,0,3,1,0
83,2,0,2,1,3,1,0
83,3,1,3,2,3,0,3
83,4,2,3,3,2,-1,1
83,5,1,2,0,3,1,2
83,6,0,3,0,2,3,1
83,7,0,3,1,3,0,1
84,1,0,3,0,3,1,0
84,2,0,2,1,3,1,0
84,3,1,3,2,3,0,3
84,4,2,3,3,2,-1,1
84,5,1,2,0,3,1,2
84,6,0,3,0,2,3,1
84,7,0,3,1,3,0,1
85,1,1,3,0,3,0,0
85,2,0,0,0,3,-1,0
85,3,0,1,0,3,0,-1
85,4,2,3,0,2,-1,2
85,5,0,2,0,1,0,1
85,6,1,1,0,1,0,0
85,7,4,3,0,3,-3,-1
86,1,0,3,0,3,0,0
86,2,1,3,1,3,0,0
86,3,0,3,0,3,1,1
86,4,0,3,0,3,0,0
86,5,0,3,0,3,0,0
86,6,0,2,0,3,0,0
86,7,0,3,1,3,0,0
87,1,0,3,0,3,0,0
87,2,0,3,0,3,1,1
87,3,1,3,1,3,0,-1
87,4,1,3,1,3,0,-1
87,5,1,3,1,3,1,0
87,6,1,3,1,3,0,0
87,7,1,3,1,2,1,-2
88,1,0,3,0,3,0,0
88,2,1,3,1,3,1,0
88,3,0,3,0,3,0,0
88,4,0,3,0,3,0,-1
88,5,0,3,0,3,0,1
88,6,0,3,1,3,0,0
88,7,1,3,1,3,1,0
89,1,0,3,0,3,1,1
89,2,0,3,0,3,0,1
89,3,0,3,0,3,0,0
89,4,1,3,1,3,0,1
89,5,1,3,1,3,0,0
89,6,0,2,0,3,0,0
89,7,0,2,0,3,0,0
90,1,0,2,0,2,0,0
90,2,0,2,0,2,0,0
90,3,0,2,0,2,0,-1
90,4,0,2,0,0,-2,3
90,5,0,2,0,2,0,0
90,6,0,2,0,2,0,0
90,7,0,2,0,2,0,0
91,1,2,3,1,3,-3,-1
91,2,2,3,2,2,-2,-1
91,3,1,3,2,2,-3,0
91,4,1,2,1,3,-3,0
91,5,1,3,4,3,-3,0
91,6,0,3,0,3,-2,0
91,7,NA,NA,2,3,NA,-2
92,1,2,2,3,2,0,0
92,2,3,2,3,1,0,0
92,3,3,2,3,2,-1,0
92,4,3,2,3,3,-2,-2
92,5,2,2,2,2,2,3
92,6,2,2,2,2,0,0
92,7,2,3,2,2,-3,-3
93,1,0,3,0,3,0,0
93,2,0,3,0,3,0,0
93,3,0,3,0,3,0,0
93,4,0,3,0,3,0,0
93,5,0,3,0,3,1,-1
93,6,0,3,0,3,0,0
93,7,0,3,0,3,0,0
94,1,1,3,0,3,1,-2
94,2,1,2,0,3,2,1
94,3,0,2,0,3,-1,-1
94,4,3,0,0,2,0,0
94,5,1,2,0,2,1,0
94,6,0,3,0,2,3,0
94,7,0,2,0,2,-3,0
95,1,3,2,2,2,-1,0
95,2,2,3,0,2,-1,-3
95,3,4,2,0,2,2,-2
95,4,3,1,1,0,-2,-3
95,5,3,2,3,2,0,-1
95,6,3,3,2,2,-2,0
95,7,4,3,2,3,0,-2
96,1,2,0,2,1,-3,-3
96,2,1,1,3,0,-3,-3
96,3,1,1,1,1,-3,-3
96,4,3,1,3,0,-1,-3
96,5,3,1,3,1,-3,-3
96,6,3,1,3,1,-3,-3
96,7,3,1,3,1,-3,-3
97,1,0,3,0,3,0,0
97,2,0,3,0,3,1,3
97,3,0,3,0,3,0,0
97,4,0,3,0,3,1,0
97,5,0,3,0,3,1,1
97,6,0,3,0,3,1,0
97,7,0,3,0,3,0,0
98,1,1,3,1,3,-1,-1
98,2,2,3,2,3,2,2
98,3,2,3,2,3,2,1
98,4,0,3,0,3,1,1
98,5,0,3,0,3,0,0
98,6,0,3,0,3,0,0
98,7,0,3,0,3,0,0
99,1,0,3,1,3,0,1
99,2,0,3,3,3,0,0
99,3,0,3,2,3,0,0
99,4,0,3,0,3,0,0
99,5,0,3,0,3,0,0
99,6,0,3,0,3,0,0
99,7,0,3,0,3,0,0
100,1,1,0,0,1,-1,0
100,2,0,3,0,1,-1,0
100,3,0,3,0,3,0,0
100,4,0,3,0,3,0,0
100,5,0,3,0,3,0,0
100,6,0,3,0,3,0,0
100,7,0,3,0,3,0,0
101,1,0,2,0,2,-1,-2
101,2,0,2,0,3,-1,-1
101,3,0,2,0,2,0,-1
101,4,0,2,0,2,-1,-1
101,5,0,2,0,3,-1,-1
101,6,0,2,0,2,-1,-2
101,7,0,2,0,2,-1,-1
102,1,0,3,0,3,-1,-1
